Enterprise,OrgName,Project,Collection,InfraId,Repository,Type
Client X,Org A,Project 172,Collection 3436,52648,Repo 3827,Subversion
Client X,Org A,Project 172,Collection 3688,84366,Repo 3964,Subversion
Client X,Org A,Project 1,Collection 148,43299,Repo 5408,Subversion
Client X,Org A,Project 1,Collection 148,45713,Repo 5873,Jira
Client X,Org A,Project 1,Collection 2076,83725,Repo 2996,Subversion
Client X,Org A,Project 1,Collection 2316,83807,Repo 3149,Subversion
Client X,Org A,Project 1,Collection 294,83808,Repo 3150,Subversion
Client X,Org A,Project 1,Collection 2424,83861,Repo 3246,Subversion
Client X,Org A,Project 1,Collection 2586,52262,Repo 3342,Subversion
Client X,Org A,Project 1,Collection 779,42096,Repo 1282,Subversion
Client X,Org A,Project 1,Collection 779,44510,Repo 6715,Jira
Client X,Org A,Project 1,Collection 3450,42097,Repo 1283,Subversion
Client X,Org A,Project 1,Collection 3450,44511,Repo 6716,Jira
Client X,Org A,Project 1,Collection 3478,42109,Repo 1300,Subversion
Client X,Org A,Project 1,Collection 3478,44523,Repo 6732,Jira
Client X,Org A,Project 1,Collection 1341,79622,Repo 4902,Subversion
Client X,Org A,Project 1,Collection 5591,79558,Repo 5227,Subversion
Client X,Org A,Project 1,Collection 5592,79559,Repo 5228,Subversion
Client X,Org A,Project 1,Collection 5653,43146,Repo 2637,Subversion
Client X,Org A,Project 1,Collection 5653,45560,Repo 7718,Jira
Client X,Org A,Project 173,Collection 3154,52499,Repo 1071,Subversion
Client X,Org A,Project 2,Collection 540,41825,Repo 910,Subversion
Client X,Org A,Project 2,Collection 540,44239,Repo 6446,Jira
Client X,Org A,Project 2,Collection 803,42122,Repo 1315,Subversion
Client X,Org A,Project 2,Collection 803,44536,Repo 6745,Jira
Client X,Org A,Project 2,Collection 1310,42766,Repo 2176,Subversion
Client X,Org A,Project 2,Collection 1310,45180,Repo 7383,Jira
Client X,Org A,Project 3,Collection 1455,53589,Repo 2438,Subversion
Client X,Org A,Project 174,Collection 1786,51910,Repo 2803,Subversion
Client X,Org A,Project 174,Collection 1976,79417,Repo 2932,Subversion
Client X,Org A,Project 174,Collection 1981,52006,Repo 2934,Subversion
Client X,Org A,Project 175,Collection 2326,52164,Repo 3157,Subversion
Client X,Org A,Project 175,Collection 4531,53199,Repo 2008,Subversion
Client X,Org A,Project 176,Collection 5022,53401,Repo 2200,Subversion
Client X,Org A,Project 4,Collection 541,41826,Repo 912,Subversion
Client X,Org A,Project 4,Collection 541,44240,Repo 6447,Jira
Client X,Org A,Project 5,Collection 2936,52385,Repo 3507,Subversion
Client X,Org A,Project 5,Collection 1326,43268,Repo 5378,Subversion
Client X,Org A,Project 5,Collection 1326,45682,Repo 7408,Jira
Client X,Org A,Project 177,Collection 3193,52520,Repo 3673,Subversion
Client X,Org A,Project 6,Collection 390,63858,Repo 3341,Subversion
Client X,Org A,Project 6,Collection 463,63866,Repo 3435,Subversion
